id,companyName,companyAddress,city,state,country,shortVenue,venu,walking_time,walkingdate
1,Ionidea Enterprise Solutions Private Limited,6TH BLOCK 100 FEET ROAD NEAR SONY WORLD SIGNAL JUNCTIONOPP TO RIYA KODALI SHOWROOM KORMANGALA,BANGALORE,KA,India,Whitefield,IonIdea Pvt. Ltd # 38-40 EPIP Whitefield Bangalore 560 066. Besides SAP LABS Landmark: KTPO Stop Near Ginger Hotel,12:22:00,2/3/2017
2,Hinduja global Solutions,#32/A1st Floor9th Main,BANGALORE,KA,India,Whitefield,45/4 Tumkur Road Yeshwanthpur Metro Station Opposite to More Hypermarket Yeshwantpu,13:22:00,2/4/2017
3,CADEM Technologies Pvt. Ltd.,Brickwork India Pvt. Ltd. 3rd Floor Raj Alkaa Park 29/3 & 32/2,BANGALORE,KA,India,Bommanhalli,College Road Vadkun,14:22:00,2/5/2017
4,Crane-Bel International Pvt. Ltd., Marks & Spencer Kormangla Opposite Oasis Centre Inner Ring Road Bangalore,BANGALORE,KA,India,Bommanhalli,Gauge House67 Hadapsar Industrial Estate,15:22:00,2/6/2017
5,Pragati Automation Pvt Ltd,No. 264/75 36th Cross 2nd Main,BANGALORE,KA,India,Bommanhalli,Peenya Industrial Area,16:22:00,2/7/2017
6,Premier Ltd,Dharwad Bye Pass (Next to Airtech),BANGALORE,KA,India,Bommanhalli,Kanta Vikas Gruh Road,17:22:00,2/8/2017
7,Nugen Machineries Ltd,Pune Satara Road,BANGALORE,KA,India,Bommanhalli,Kharabe Wadi Gat No 254/255,18:22:00,2/9/2017
8,Nagel Special Machines Pvt. Ltd,Bommasandra Industrial Estate,BANGALORE,KA,India,Yeshwantpur,Bommasandra Industrial Estate,19:22:00,2/10/2017
9,Miven Mayfran Conveyors Pvt. Ltd.,2816 Jammu Colony St No 1,BANGALORE,KA,India,Yeshwantpur,Vellalore Road,20:22:00,2/11/2017
10,Mistry Laxman Kadva Machines (P) Ltd.,201 Karma Stambh,BANGALORE,KA,India,Hadapsar,No. 264/75 36th Cross 2nd Main8th Block Jayanagar,21:22:00,2/12/2017
11,Micromatic Grinding Technologies Ltd,Raheja Palmspring Centre,BANGALORE,KA,India,Hadapsar,B-14 Ambattur Industrial Estate,22:22:00,2/13/2017
12,Mercury Pneumatics Pvt. Ltd.,G. T. Road Suranussi,BANGALORE,KA,India,Yeshwantpur,GF 1 6th Main KSSIDC Building,23:22:00,2/14/2017
13,Liebherr Machine Tools India Pvt Ltd,G-506 Lodhika GIDC,BANGALORE,KA,India,Hadapsar,418 Industrial Area 'A',0:22:00,2/15/2017
14,Krystal Elmec,10/2 Bhaktinagar Station Plot,BANGALORE,KA,India,Hadapsar,B - 1/976 Rajpura Road,1:22:00,2/16/2017
15,Klad On Design Pvt. Ltd,8 / 9th Mile Tumkur Road,BANGALORE,KA,India,Kormangala,Plot No. C 16 M.I.D.C.,2:22:00,2/17/2017
16,Kirpekar Engineering Pvt. Ltd,Hinjawadi MIDC Phase 2 At Post - Maan,BANGALORE,KA,India,Kormangala,201 Karma Stambh,3:22:00,2/18/2017
17,Khushbu Engineers,Plot No. 8A Raisoni Industrial Park,BANGALORE,KA,India,Yeshwantpur,Whitefield Bangalore 560 066.,4:22:00,2/19/2017
18,Kawa Press Systems Pvt Ltd,Nadakerappa Industrial Estate,BANGALORE,KA,India,Yeshwantpur,SAP LABS Landmark,5:22:00,2/20/2017
19,Jash Precision Tools Ltd,353-354 9th Cross 4th Main,BANGALORE,KA,India,Kormangala,KTPO Stop Near Ginger Hotel,6:22:00,2/21/2017
20,HMT Machine Tools Ltd.,IV Phase Peenya Industrial Area,BANGALORE,KA,India,Kormangala,Opposite to More Hypermarket,7:22:00,2/22/2017
